Today's date_Day,Today's date_Month,Today's date_Year,Case Number and date case was registered_Code,Case Number and date case was registered_No,Case Number and date case was registered_Day,Case Number and date case was registered_Month,Case Number and date case was registered_Year,Case type_Case type,Date last in Court_Day,Date last in Court_Month,Date last in Court_Year,What was the last outcome in Court_Outcome,Date of next activity:_Day,Date of next activity:_Month,Date of next activity:_Year,Other Remarks_(Enter free text),"Tax Head eg VAT,WHT_Unnamed: 17_level_1",Amount in Dispute Ksh._Unnamed: 18_level_1,Representation (Advocate/Tax Agent/In Person)_Unnamed: 19_level_1
21.0,5.0,2024.0,RRC,E028,10.0,1.0,2023.0,RRC,22.0,2.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E029,10.0,1.0,2023.0,RRC,17.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E031,10.0,1.0,2023.0,RRC,9.0,3.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E033,12.0,1.0,2023.0,RRC,12.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E037,11.0,1.0,2023.0,RRC,16.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E044,11.0,1.0,2023.0,RRC,12.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E096,23.0,1.0,2023.0,RRC,11.0,5.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E099,24.0,1.0,2023.0,RRC,25.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E101,24.0,1.0,2023.0,RRC,25.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E103,25.0,1.0,2023.0,RRC,26.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E122,27.0,1.0,2023.0,RRC,27.0,2.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E123,27.0,1.0,2023.0,RRC,30.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E124,27.0,1.0,2023.0,RRC,30.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E125,27.0,1.0,2023.0,RRC,30.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E126,27.0,1.0,2023.0,RRC,1.0,8.0,2023.0,Active: Ruling on notice,,,,ruling on notice,,,
21.0,5.0,2024.0,RRC,E127,27.0,1.0,2023.0,RRC,30.0,1.0,2023.0,Active: Hearing on priority basis,,,,hearing on priority basis,,,
21.0,5.0,2024.0,RRC,E131,30.0,1.0,2023.0,RRC,31.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E149,1.0,2.0,2023.0,RRC,2.0,2.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E153,1.0,2.0,2023.0,RRC,2.0,2.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E158,2.0,2.0,2023.0,RRC,7.0,2.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E159,2.0,2.0,2023.0,RRC,14.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E160,2.0,2.0,2023.0,RRC,6.0,2.0,2024.0,Active:Court on official duty,,,,Needs next date in court,,,
21.0,5.0,2024.0,RRC,E162,2.0,2.0,2023.0,RRC,6.0,2.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E163,2.0,2.0,2023.0,RRC,9.0,5.0,2023.0,Active:Court on official duty,,,,Needs next date in court,,,
21.0,5.0,2024.0,RRC,E426,13.0,3.0,2023.0,RRC,24.0,3.0,2023.0,Active:mention after 60 days for further orders,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E429,13.0,3.0,2023.0,RRC,14.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E430,13.0,3.0,2023.0,RRC,14.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E431,13.0,3.0,2023.0,RRC,17.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E432,13.0,3.0,2023.0,RRC,17.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E434,13.0,3.0,2023.0,RRC,14.0,3.0,2023.0,Active:case to be heard interparties,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E435,14.0,3.0,2023.0,RRC,8.0,8.0,2023.0,Active: Mention date given 17/8/2023,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E436,14.0,3.0,2023.0,RRC,17.0,3.0,2023.0,Active: Parties to serve,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E438,14.0,3.0,2023.0,RRC,12.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E441,14.0,3.0,2023.0,RRC,31.0,7.0,2023.0,Active:case to be heard interparties,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E443,15.0,3.0,2023.0,RRC,17.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E444,14.0,3.0,2023.0,RRC,11.0,1.0,2024.0,Active:Parties to take date in court at registry,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E445,14.0,3.0,2023.0,RRC,28.0,3.0,2023.0,Active:Parties to move court,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E449,15.0,3.0,2023.0,RRC,8.0,6.0,2023.0,Active:Parties to take date in court at registry,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E450,13.0,3.0,2023.0,RRC,15.0,1.0,2024.0,Active:mention on 7/2/2024,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E451,16.0,3.0,2023.0,RRC,24.0,3.0,2023.0,Active:Hg on 24/5/2023,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E452,16.0,3.0,2023.0,RRC,23.0,3.0,2024.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E455,16.0,3.0,2023.0,RRC,8.0,4.0,2024.0,Active: Hearing date to be set,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E456,17.0,3.0,2023.0,RRC,11.0,3.0,2024.0,Active:Hearing date set for 30/4/2024,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E459,17.0,3.0,2023.0,RRC,23.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E462,17.0,3.0,2023.0,RRC,22.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E466,17.0,3.0,2023.0,RRC,22.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E548,4.0,4.0,2023.0,RRC,5.0,4.0,2023.0,Active:case to be heard interparties,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E509,28.0,3.0,2023.0,RRC,29.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E511,28.0,3.0,2023.0,RRC,27.0,6.0,2023.0,Active: Hg on 7/8/2023,,,,Needs next date,,,
21.0,5.0,2024.0,RRC,E512,29.0,3.0,2023.0,RRC,29.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E515,29.0,3.0,2023.0,RRC,29.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E518,29.0,3.0,2023.0,RRC,30.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E519,29.0,3.0,2023.0,RRC,30.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E520,29.0,3.0,2023.0,RRC,10.0,5.0,2023.0,Active:Hg on 10/5/2023,,,,Needs next date,,,
,,,RRC,E521,30.0,3.0,2023.0,RRC,14.0,2.0,2024.0,Active:Parties to take date in court at registry,,,,Needs next date,,,
,,,RRC,E522,30.0,3.0,2023.0,RRC,14.0,4.0,2023.0,Active:Hg on 31/5/2023,,,,Needs next date,,,
,,,RRC,E523,30.0,3.0,2023.0,RRC,14.0,4.0,2023.0,Active:mention after 60 days for further orders,,,,Recommended for dismissal,,,
,,,RRC,E524,30.0,3.0,2023.0,RRC,24.0,4.0,2024.0,Active:Parties to take date in court at registry,,,,Needs next date,,,
,,,RRC,E528,31.0,3.0,2023.0,RRC,31.0,3.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E530,31.0,3.0,2023.0,RRC,4.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E537,3.0,4.0,2023.0,RRC,5.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E538,3.0,4.0,2023.0,RRC,29.0,6.0,2023.0,Active:Hg on 22/8/2023,,,,Needs next date,,,
,,,RRC,E540,3.0,4.0,2023.0,RRC,5.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E541,3.0,4.0,2023.0,RRC,4.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E916,10.0,6.0,2023.0,RRC,19.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E917,19.0,6.0,2023.0,RRC,31.0,7.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E868,9.0,6.0,2023.0,RRC,9.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E869,9.0,6.0,2023.0,RRC,9.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E870,9.0,6.0,2023.0,RRC,9.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E874,12.0,6.0,2023.0,RRC,13.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E877,12.0,6.0,2023.0,RRC,13.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E879,13.0,6.0,2023.0,RRC,13.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E880,13.0,6.0,2023.0,RRC,19.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E883,13.0,6.0,2023.0,RRC,14.0,6.0,2023.0,Active:Parties to move court,,,,Needs next date,,,
,,,RRC,E884,10.0,6.0,2023.0,RRC,14.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E890,14.0,6.0,2023.0,RRC,14.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E891,29.0,8.0,2023.0,RRC,19.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E892,15.0,6.0,2023.0,RRC,13.0,7.0,2023.0,Active:Hg on 3/10/2023,,,,Needs next date,,,
,,,RRC,E897,15.0,6.0,2023.0,RRC,11.0,7.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E900,14.0,6.0,2023.0,RRC,19.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E901,16.0,6.0,2023.0,RRC,16.0,6.0,2023.0,Active:Plaintiff to take 14 days,,,,Needs next date,,,
,,,RRC,E902,16.0,6.0,2023.0,RRC,19.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E904,16.0,6.0,2023.0,RRC,19.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E905,16.0,6.0,2023.0,RRC,19.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E907,16.0,6.0,2023.0,RRC,20.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E759,22.0,5.0,2023.0,RRC,23.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E760,22.0,5.0,2023.0,RRC,24.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E763,24.0,5.0,2023.0,RRC,24.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E770,26.0,5.0,2023.0,RRC,13.0,9.0,2023.0,Active:Hg on 21/11/2023,,,,Needs next date,,,
,,,RRC,E775,26.0,5.0,2023.0,RRC,31.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E776,21.0,5.0,2023.0,RRC,5.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E777,29.0,5.0,2023.0,RRC,15.0,11.0,2023.0,Active:case to be heard interparties,,,,Needs next date,,,
,,,RRC,E778,29.0,5.0,2023.0,RRC,12.0,9.0,2023.0,Active:Hg on 21/11/2023,,,,Needs next date,,,
,,,RRC,E783,29.0,5.0,2023.0,RRC,31.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E785,31.0,5.0,2023.0,RRC,5.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E786,29.0,5.0,2023.0,RRC,13.0,9.0,2023.0,Active:Hg on 21/11/2023,,,,Needs next date,,,
,,,RRC,E788,30.0,5.0,2023.0,RRC,2.0,6.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E790,31.0,5.0,2023.0,RRC,29.0,8.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E631,25.0,4.0,2023.0,RRC,16.0,10.0,2023.0,Active:Hg on 15/11/2023,,,,Needs next date,,,
,,,RRC,E632,25.0,4.0,2023.0,RRC,27.0,6.0,2023.0,Active:Parties to move court,,,,Needs next date,,,
,,,RRC,E636,25.0,4.0,2023.0,RRC,26.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E637,25.0,4.0,2023.0,RRC,19.0,9.0,2023.0,Active:Court on official duty,,,,Needs next date,,,
,,,RRC,E639,26.0,4.0,2023.0,RRC,27.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E641,26.0,4.0,2023.0,RRC,24.0,7.0,2023.0,Active:Hg 5/10/2023,,,,Needs next date,,,
,,,RRC,E643,26.0,4.0,2023.0,RRC,10.0,5.0,2023.0,Active:Hg 12/7/2023,,,,Needs next date,,,
,,,RRC,E644,26.0,4.0,2023.0,RRC,28.0,9.0,2023.0,Active:Parties to move court,,,,Needs next date,,,
,,,RRC,E645,26.0,4.0,2023.0,RRC,25.0,7.0,2023.0,Active:Mn on 3/10/2023,,,,Needs next date,,,
,,,RRC,E646,26.0,4.0,2023.0,RRC,28.0,4.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E649,28.0,4.0,2023.0,RRC,5.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E651,27.0,4.0,2023.0,RRC,3.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E673,4.0,5.0,2023.0,RRC,13.0,7.0,2023.0,Active:Mn on 4/10/2023,,,,Needs next date,,,
,,,RRC,E674,4.0,5.0,2023.0,RRC,4.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E675,4.0,5.0,2023.0,RRC,8.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E676,4.0,5.0,2023.0,RRC,8.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E680,5.0,5.0,2023.0,RRC,8.0,5.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
,,,RRC,E682,5.0,5.0,2023.0,RRC,23.0,11.0,2023.0,Active:Mn on 8/2/2024,,,,Needs next date,,,
,,,RRC,E1076,11.0,7.0,2023.0,RRC,13.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1078,13.0,7.0,2023.0,RRC,14.0,12.0,2023.0,Active:Mn on 6/3/2024,,,,Needs next date,,,
,,,RRC,E1079,14.0,7.0,2023.0,RRC,17.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1081,14.0,7.0,2023.0,RRC,17.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1082,14.0,7.0,2023.0,RRC,26.0,10.0,2023.0,Active:Parties to undertake service at registry,,,,Needs next date,,,
,,,RRC,E1083,17.0,7.0,2023.0,RRC,17.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1084,17.0,7.0,2023.0,RRC,17.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1085,17.0,7.0,2023.0,RRC,21.0,7.0,2023.0,Active:Hg 28/09/2023,,,,Needs next date,,,
,,,RRC,E1089,17.0,7.0,2023.0,RRC,18.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1091,18.0,7.0,2023.0,RRC,18.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1092,18.0,7.0,2023.0,RRC,19.0,3.0,2024.0,Active:Mn on 18/6/2024,,,,Needs next date,,,
,,,RRC,E1093,30.0,6.0,2023.0,RRC,18.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1098,18.0,7.0,2023.0,RRC,20.0,11.0,2023.0,Active:Hg on 7/2/2024,,,,Needs next date,,,
,,,RRC,E1101,18.0,7.0,2023.0,RRC,18.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1107,21.0,7.0,2023.0,RRC,20.0,11.0,2023.0,Active:Court on official duty,,,,Needs next date,,,
,,,RRC,E1108,24.0,7.0,2023.0,RRC,27.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1112,24.0,7.0,2023.0,RRC,25.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1114,24.0,7.0,2023.0,RRC,25.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1118,25.0,7.0,2023.0,RRC,14.0,11.0,2023.0,Active:Mn 6/2/2024,,,,Needs next date,,,
,,,RRC,E1121,26.0,7.0,2023.0,RRC,3.0,8.0,2023.0,Active: Hg on 23/9/2023,,,,Needs next date,,,
,,,RRC,E1122,26.0,7.0,2023.0,RRC,22.0,12.0,2023.0,Active Hg on 6/3/2024,,,,Needs next date,,,
,,,RRC,E1124,26.0,7.0,2023.0,RRC,27.0,3.0,2024.0,Active:Hg on 25/6/2024,,,,Needs next date,,,
,,,RRC,E1300,30.0,8.0,2023.0,RRC,1.0,9.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1301,30.0,8.0,2023.0,RRC,7.0,9.0,2023.0,Active:Parties to move court,,,,Needs next date,,,
,,,RRC,E1302,30.0,8.0,2023.0,RRC,31.0,8.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1305,31.0,8.0,2023.0,RRC,31.0,8.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1306,1.0,9.0,2023.0,RRC,1.0,9.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1307,31.0,8.0,2023.0,RRC,31.0,10.0,2023.0,ACTIVE:hg on 6/12/2023,,,,Needs next date,,,
,,,RRC,E1191,7.0,8.0,2023.0,RRC,7.0,8.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1195,7.0,8.0,2023.0,RRC,7.0,2.0,2024.0,Active:Hg on 14/3/2024,,,,Needs next date,,,
,,,RRC,E1196,7.0,8.0,2023.0,RRC,8.0,8.0,2023.0,Active:Parties to move court,,,,Needs next date,,,
,,,RRC,E1198,7.0,8.0,2023.0,RRC,9.0,8.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1209,9.0,8.0,2023.0,RRC,14.0,8.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1308,31.0,8.0,2023.0,RRC,31.0,10.0,2023.0,Active,,,,Recommended for closure CTS,,,
,,,RRC,E1310,1.0,9.0,2023.0,RRC,5.0,9.0,2023.0,Active:plaintiff to take 60 days,,,,Needs next date,,,
,,,RRC,E1316,1.0,9.0,2023.0,RRC,27.0,9.0,2023.0,Active:Mn on 30/11/2023,,,,Needs next date,,,
,,,RRC,E1369,12.0,9.0,2023.0,RRC,12.0,9.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
,,,RRC,E1370,12.0,9.0,2023.0,RRC,12.0,9.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Needs next date,,,
